Feature_1,Feature_2,p_fdr
Angry_Avert_FinalMax,pctFirstFixc_aMO,0.4251640202250679
Angry_Avert_FinalMax,pctFirstFixc_aBG,0.67820279579055
Angry_Avert_FinalMax,pctFirstFixa_dEY,0.7632318846608231
Angry_Avert_FinalMax,pctFirstFixa_dMO,0.7012322880539191
Angry_Avert_FinalMax,pctFirstFixa_dBG,0.681773969555216
Angry_Avert_FinalMax,pctFirstFixc_dEY,0.9273734586132275
Angry_Avert_FinalMax,pctFirstFixc_dMO,0.45535230309662367
Angry_Avert_FinalMax,pctFirstFixc_dBG,0.3140692797072784
Angry_Avert_FinalMax,meanRT-a_a,0.3179020346294352
Angry_Avert_FinalMax,meanRT-c_a,0.30348459593624705
Angry_Avert_FinalMax,meanRT-a_d,0.3689364394636638
Angry_Avert_FinalMax,meanRT-c_d,0.39208130999903484
Angry_Avert_FinalMax,msTotal.a_a,0.34808073214934904
Angry_Avert_FinalMax,msTotal.a_c,0.7774747076661752
Angry_Avert_FinalMax,msTotal.d_a,0.8726333476034138
Angry_Avert_FinalMax,msTotal.d_c,0.9004702990529394
Angry_Avert_FinalMax,pctOffscreen.a_a,0.7525471160664263
Angry_Avert_FinalMax,pctOffscreen.a_c,0.22904888313935684
Angry_Avert_FinalMax,pctOffscreen.d_a,0.20610863195290996
Angry_Avert_FinalMax,pctOffscreen.d_c,0.80666663176133
Angry_Avert_FinalMax,pctOnBackground.a_a,0.35150733322081035
Angry_Avert_FinalMax,pctOnBackground.a_c,0.1567330989895827
Angry_Avert_FinalMax,pctOnBackground.d_a,0.15815741917587858
Angry_Avert_FinalMax,pctOnBackground.d_c,0.32567364634896284
Angry_Avert_FinalMax,pctSamplesOffscreenL,0.9467899467005466
Angry_Avert_FinalMax,pctSamplesOffscreenR,0.9630826602971929
Angry_Avert_FinalMax,ARI_6_P,0.7260398113945874
Angry_Avert_FinalMax,SCARED_P,0.8495626889824766
Fix_a_d_BG,Fix_a_d_EY,0.0022171646011969258
Fix_a_d_BG,Fix_a_d_MO,0.42352699500229746
Fix_a_d_BG,Fix_a_a_BG,5.356058426066643e-19
Fix_a_d_BG,Fix_a_a_EY,0.0015362379870738278
Fix_a_d_BG,Fix_a_a_MO,0.3974233361901298
Fix_a_d_BG,Fix_c_d_BG,6.638326868174325e-24
Fix_a_d_BG,Fix_c_d_EY,0.0125945324831522
Fix_a_d_BG,Fix_c_d_MO,0.6792743782590297
Fix_a_d_BG,Fix_c_a_BG,5.920864751804201e-22
Fix_a_d_BG,Fix_c_a_EY,0.004950267326892162
Fix_a_d_BG,Fix_c_a_MO,0.34417834341212117
Fix_a_d_BG,Dwell_a_d_BG,6.638326868174325e-24
Fix_a_d_BG,Dwell_a_d_EY,9.050602107946836e-05
Fix_a_d_BG,Dwell_a_d_MO,0.4989486048312193
Fix_a_d_BG,Dwell_a_a_BG,4.924737607842863e-14
Fix_a_d_BG,Dwell_a_a_EY,6.942657785422864e-05
Fix_a_d_BG,Dwell_a_a_MO,0.38019420456583575
Fix_a_d_BG,Dwell_c_d_BG,3.246782133019905e-19
Fix_a_d_BG,Dwell_c_d_EY,0.0008885012221071147
Fix_a_d_BG,Dwell_c_d_MO,0.6802006841047408
Fix_a_d_BG,Dwell_c_a_BG,1.233311160132525e-21
Fix_a_d_BG,Dwell_c_a_EY,0.0005036358539490937
Fix_a_d_BG,Dwell_c_a_MO,0.4691784128187101
Fix_a_d_BG,pctFirstFixa_aEY,0.0018062447124053253
Fix_a_d_BG,pctFirstFixa_aMO,0.5489763239114973
Fix_a_d_BG,pctFirstFixa_aBG,2.953903133348376e-08
Fix_a_d_BG,pctFirstFixc_aEY,0.008504583023842915
